pin,site,tile
M16,IOB_X0Y100,LIOB33_SING_X0Y100
J8,IOB_X0Y199,LIOB33_SING_X0Y199
H9,IOB_X0Y198,LIOB33_X0Y197
H8,IOB_X0Y197,LIOB33_X0Y197
G10,IOB_X0Y196,LIOB33_X0Y195
G9,IOB_X0Y195,LIOB33_X0Y195
J13,IOB_X0Y194,LIOB33_X0Y193
H13,IOB_X0Y193,LIOB33_X0Y193
J11,IOB_X0Y192,LIOB33_X0Y191
J10,IOB_X0Y191,LIOB33_X0Y191
H14,IOB_X0Y190,LIOB33_X0Y189
G14,IOB_X0Y189,LIOB33_X0Y189
H12,IOB_X0Y188,LIOB33_X0Y187
H11,IOB_X0Y187,LIOB33_X0Y187
F9,IOB_X0Y186,LIOB33_X0Y185
F8,IOB_X0Y185,LIOB33_X0Y185
D9,IOB_X0Y184,LIOB33_X0Y183
D8,IOB_X0Y183,LIOB33_X0Y183
A9,IOB_X0Y182,LIOB33_X0Y181
A8,IOB_X0Y181,LIOB33_X0Y181
C9,IOB_X0Y180,LIOB33_X0Y179
B9,IOB_X0Y179,LIOB33_X0Y179
G11,IOB_X0Y178,LIOB33_X0Y177
F10,IOB_X0Y177,LIOB33_X0Y177
E10,IOB_X0Y176,LIOB33_X0Y175
D10,IOB_X0Y175,LIOB33_X0Y175
C12,IOB_X0Y174,LIOB33_X0Y173
C11,IOB_X0Y173,LIOB33_X0Y173
E11,IOB_X0Y172,LIOB33_X0Y171
D11,IOB_X0Y171,LIOB33_X0Y171
F14,IOB_X0Y170,LIOB33_X0Y169
F13,IOB_X0Y169,LIOB33_X0Y169
G12,IOB_X0Y168,LIOB33_X0Y167
F12,IOB_X0Y167,LIOB33_X0Y167
D14,IOB_X0Y166,LIOB33_X0Y165
D13,IOB_X0Y165,LIOB33_X0Y165
E13,IOB_X0Y164,LIOB33_X0Y163
E12,IOB_X0Y163,LIOB33_X0Y163
C14,IOB_X0Y162,LIOB33_X0Y161
C13,IOB_X0Y161,LIOB33_X0Y161
B12,IOB_X0Y160,LIOB33_X0Y159
B11,IOB_X0Y159,LIOB33_X0Y159
B14,IOB_X0Y158,LIOB33_X0Y157
A14,IOB_X0Y157,LIOB33_X0Y157
B10,IOB_X0Y156,LIOB33_X0Y155
A10,IOB_X0Y155,LIOB33_X0Y155
B15,IOB_X0Y154,LIOB33_X0Y153
A15,IOB_X0Y153,LIOB33_X0Y153
A13,IOB_X0Y152,LIOB33_X0Y151
A12,IOB_X0Y151,LIOB33_X0Y151
J14,IOB_X0Y150,LIOB33_SING_X0Y150
U9,IOB_X1Y49,RIOB18_SING_X43Y49
V11,IOB_X1Y48,RIOB18_X43Y47
W11,IOB_X1Y47,RIOB18_X43Y47
V8,IOB_X1Y46,RIOB18_X43Y45
V7,IOB_X1Y45,RIOB18_X43Y45
W10,IOB_X1Y44,RIOB18_X43Y43
W9,IOB_X1Y43,RIOB18_X43Y43
Y8,IOB_X1Y42,RIOB18_X43Y41
Y7,IOB_X1Y41,RIOB18_X43Y41
Y11,IOB_X1Y40,RIOB18_X43Y39
Y10,IOB_X1Y39,RIOB18_X43Y39
V9,IOB_X1Y38,RIOB18_X43Y37
W8,IOB_X1Y37,RIOB18_X43Y37
AE7,IOB_X1Y36,RIOB18_X43Y35
AF7,IOB_X1Y35,RIOB18_X43Y35
AA8,IOB_X1Y34,RIOB18_X43Y33
