pin,site,tile
V1,IOB_X1Y35,RIOB33_X43Y35
U4,IOB_X1Y34,RIOB33_X43Y33
U3,IOB_X1Y33,RIOB33_X43Y33
U2,IOB_X1Y32,RIOB33_X43Y31
V2,IOB_X1Y31,RIOB33_X43Y31
V5,IOB_X1Y30,RIOB33_X43Y29
V4,IOB_X1Y29,RIOB33_X43Y29
R3,IOB_X1Y28,RIOB33_X43Y27
T3,IOB_X1Y27,RIOB33_X43Y27
T5,IOB_X1Y26,RIOB33_X43Y25
T4,IOB_X1Y25,RIOB33_X43Y25
N5,IOB_X1Y24,RIOB33_X43Y23
P5,IOB_X1Y23,RIOB33_X43Y23
P4,IOB_X1Y22,RIOB33_X43Y21
P3,IOB_X1Y21,RIOB33_X43Y21
P2,IOB_X1Y20,RIOB33_X43Y19
R2,IOB_X1Y19,RIOB33_X43Y19
M4,IOB_X1Y18,RIOB33_X43Y17
N4,IOB_X1Y17,RIOB33_X43Y17
R1,IOB_X1Y16,RIOB33_X43Y15
T1,IOB_X1Y15,RIOB33_X43Y15
M6,IOB_X1Y14,RIOB33_X43Y13
N6,IOB_X1Y13,RIOB33_X43Y13
R6,IOB_X1Y12,RIOB33_X43Y11
R5,IOB_X1Y11,RIOB33_X43Y11
V7,IOB_X1Y10,RIOB33_X43Y9
V6,IOB_X1Y9,RIOB33_X43Y9
U9,IOB_X1Y8,RIOB33_X43Y7
V9,IOB_X1Y7,RIOB33_X43Y7
U7,IOB_X1Y6,RIOB33_X43Y5
U6,IOB_X1Y5,RIOB33_X43Y5
R7,IOB_X1Y4,RIOB33_X43Y3
T6,IOB_X1Y3,RIOB33_X43Y3
R8,IOB_X1Y2,RIOB33_X43Y1
T8,IOB_X1Y1,RIOB33_X43Y1
U8,IOB_X1Y0,RIOB33_SING_X43Y0
F5,IOB_X1Y99,RIOB33_SING_X43Y99
C6,IOB_X1Y98,RIOB33_X43Y97
C5,IOB_X1Y97,RIOB33_X43Y97
B7,IOB_X1Y96,RIOB33_X43Y95
B6,IOB_X1Y95,RIOB33_X43Y95
A6,IOB_X1Y94,RIOB33_X43Y93
A5,IOB_X1Y93,RIOB33_X43Y93
D8,IOB_X1Y92,RIOB33_X43Y91
C7,IOB_X1Y91,RIOB33_X43Y91
E6,IOB_X1Y90,RIOB33_X43Y89
E5,IOB_X1Y89,RIOB33_X43Y89
E7,IOB_X1Y88,RIOB33_X43Y87
D7,IOB_X1Y87,RIOB33_X43Y87
C4,IOB_X1Y86,RIOB33_X43Y85
B4,IOB_X1Y85,RIOB33_X43Y85
A4,IOB_X1Y84,RIOB33_X43Y83
A3,IOB_X1Y83,RIOB33_X43Y83
B1,IOB_X1Y82,RIOB33_X43Y81
A1,IOB_X1Y81,RIOB33_X43Y81
B3,IOB_X1Y80,RIOB33_X43Y79
B2,IOB_X1Y79,RIOB33_X43Y79
D5,IOB_X1Y78,RIOB33_X43Y77
D4,IOB_X1Y77,RIOB33_X43Y77
E3,IOB_X1Y76,RIOB33_X43Y75
D3,IOB_X1Y75,RIOB33_X43Y75
F4,IOB_X1Y74,RIOB33_X43Y73
F3,IOB_X1Y73,RIOB33_X43Y73
E2,IOB_X1Y72,RIOB33_X43Y71
D2,IOB_X1Y71,RIOB33_X43Y71
H2,IOB_X1Y70,RIOB33_X43Y69
G2,IOB_X1Y69,RIOB33_X43Y69
C2,IOB_X1Y68,RIOB33_X43Y67
C1,IOB_X1Y67,RIOB33_X43Y67
H1,IOB_X1Y66,RIOB33_X43Y65
G1,IOB_X1Y65,RIOB33_X43Y65
F1,IOB_X1Y64,RIOB33_X43Y63
E1,IOB_X1Y63,RIOB33_X43Y63
G6,IOB_X1Y62,RIOB33_X43Y61
F6,IOB_X1Y61,RIOB33_X43Y61
G4,IOB_X1Y60,RIOB33_X43Y59
G3,IOB_X1Y59,RIOB33_X43Y59
J4,IOB_X1Y58,RIOB33_X43Y57
H4,IOB_X1Y57,RIOB33_X43Y57
J3,IOB_X1Y56,RIOB33_X43Y55
J2,IOB_X1Y55,RIOB33_X43Y55
K2,IOB_X1Y54,RIOB33_X43Y53
K1,IOB_X1Y53,RIOB33_X43Y53
H6,IOB_X1Y52,RIOB33_X43Y51
H5,IOB_X1Y51,RIOB33_X43Y51
J5,IOB_X1Y50,RIOB33_SING_X43Y50
